Indicator Code,Indicator Name,First_Year,Last_Year,Number_of_Years,Coverage_Percent
NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)",2002,2021,20,30.303030303030305
NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),2002,2021,20,30.303030303030305
NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI),2002,2021,20,30.303030303030305
ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters),2013,2025,13,19.696969696969695
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),2013,2025,13,19.696969696969695
ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),2013,2025,13,19.696969696969695
EN.ATM.PM25.MC.T2.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",1990,2017,12,18.181818181818183
EN.ATM.PM25.MC.T3.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",1990,2017,12,18.181818181818183
EN.ATM.PM25.MC.ZS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",1990,2017,12,18.181818181818183
EN.ATM.PM25.MC.T1.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",1990,2017,12,18.181818181818183
EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),2002,2022,11,16.666666666666664
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),1990,2015,3,4.545454545454546
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),1990,2015,3,4.545454545454546
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),1990,2015,3,4.545454545454546
EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population),1990,2015,3,4.545454545454546
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),1990,2015,3,4.545454545454546
EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population),1990,2015,3,4.545454545454546
AG.LND.TOTL.RU.K2,Rural land area (sq. km),1990,2015,3,4.545454545454546
AG.LND.TOTL.UR.K2,Urban land area (sq. km),1990,2015,3,4.545454545454546
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),1990,2015,3,4.545454545454546
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),1990,2015,3,4.545454545454546
EN.MAM.THRD.NO,"Mammal species, threatened",2018,2022,2,3.0303030303030303
EN.HPT.THRD.NO,"Plant species (higher), threatened",2018,2022,2,3.0303030303030303
EN.FSH.THRD.NO,"Fish species, threatened",2018,2022,2,3.0303030303030303
EN.BIR.THRD.NO,"Bird species, threatened",2018,2022,2,3.0303030303030303
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",2009,2009,1,1.5151515151515151
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),2011,2011,1,1.5151515151515151
SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",2019,2019,1,1.5151515151515151
SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",2019,2019,1,1.5151515151515151
